Regiones,Fecha,Year,Num_mes,Latitud,Longitud,Altura,Variedad,Fenologia,Hojas Evaluadas,Hojas con Roya,Incidencia,Cat_Variedad
RACS,03/07/2019,2021,3,11.72381973,-84.42759705,182,ROBUSTA TROPICAL,Floraci½n Principal,695,0,0,Resistentes
RACS,03/11/2019,2021,3,11.7250309,-84.43074036,178,ROBUSTA TROPICAL,Floraci½n,713,2,0.28,Resistentes
RACS,03/08/2019,2021,3,11.69602013,-84.46334076,183,ROBUSTA TROPICAL,Floraci½n,1025,0,0,Resistentes
RACS,03/08/2019,2021,3,11.67446899,-84.48069763,216,ROBUSTA TROPICAL,Floraci½n,695,0,0,Resistentes
RACS,03/11/2019,2021,3,11.70890045,-84.44000244,208,ROBUSTA TROPICAL,Floraci½n Principal,628,26,4.14,Resistentes
RACS,03/11/2019,2021,3,11.73089981,-84.42680359,205,ROBUSTA TROPICAL,Floraci½n Principal,595,0,0,Resistentes
RACS,03/11/2019,2021,3,11.73857212,-84.50391388,205,ROBUSTA TROPICAL,Floraci½n,867,0,0,Resistentes
RACS,3/14/2019,2021,3,11.7539959,-84.41370392,200,ROBUSTA TROPICAL,Hojas Nuevas Mayor al 30%,1293,23,1.78,Resistentes
RACS,03/12/2019,2021,3,12.39719963,-84.32250214,48,ROBUSTA TROPICAL,Floraci½n,756,9,1.19,Resistentes
RACS,03/08/2019,2021,3,12.26977539,-83.7430191,45,ROBUSTA TROPICAL,Floracion Loca,1168,76,6.51,Resistentes
RACS,03/11/2019,2021,3,12.28928566,-83.73327637,48,ROBUSTA TROPICAL,Floracion Loca,786,128,16.29,Resistentes
RACS,03/07/2019,2021,3,12.31101513,-83.74015045,51,ROBUSTA TROPICAL,Floracion Loca,746,169,22.65,Resistentes
RACS,03/09/2019,2021,3,12.278716,-83.75019,51,ROBUSTA TROPICAL,Floracion Loca,1134,112,9.88,Resistentes
RACS,03/07/2019,2021,3,12.30040359,-83.7408371,35,ROBUSTA TROPICAL,Floracion Loca,831,118,14.2,Resistentes
RIVAS,3/29/2019,2021,3,11.42804432,-85.78645325,45,ROBUSTA TROPICAL,Floracion Loca,1382,0,0,Resistentes
RIVAS,03/11/2019,2021,3,11.42804432,-85.78645325,45,ROBUSTA TROPICAL,Floracion Loca,1235,0,0,Resistentes
RACS,03/12/2019,2021,3,12.33049965,-84.24900055,55,ROBUSTA TROPICAL,Floraci½n,588,3,0.51,Resistentes
RACS,03/12/2019,2021,3,12.24097538,-83.76058197,54,ROBUSTA TROPICAL,Floracion Loca,986,117,11.87,Resistentes
RACS,03/11/2019,2021,3,12.10158634,-84.54079437,98,ROBUSTA TROPICAL,Floraci½n,738,20,2.71,Resistentes
RACS,03/12/2019,2021,3,12.32559967,-84.24639893,79,ROBUSTA TROPICAL,Floraci½n,476,23,4.83,Resistentes
RACS,03/08/2019,2021,3,12.28065395,-83.74456024,52,ROBUSTA TROPICAL,Floracion Loca,1310,46,3.51,Resistentes
RACS,03/08/2019,2021,3,12.2740612,-83.73721313,52,ROBUSTA TROPICAL,Floracion Loca,1304,192,14.72,Resistentes
RACS,03/07/2019,2021,3,12.30413342,-83.73549652,53,ROBUSTA TROPICAL,Floracion Loca,723,140,19.36,Resistentes
JINOTEGA,3/18/2019,2021,3,13.65058708,-85.71094513,946,CATIMOR,Floraci½n,921,28,3.04,Resistentes
NUEVA SEGOVIA,3/14/2019,2021,3,13.60070038,-86.08609772,849,CATIMOR,Floracion Loca,622,8,1.29,Resistentes
MATAGALPA,03/11/2019,2021,3,12.684364,-85.720782,720,CATIMOR,Floracion Loca,815,6,0.74,Resistentes
