Regiones,Fecha,Mes,Year,Fec,Latitud,Longitud,Altura,Variedad,Fenologia,Hojas Evaluadas,Hojas con Roya,Incidencia,cat_Variedad,tipo_de_datos
Cortes,3/29/2018,Marzo,2018,3,15.15375805,-87.63635254,1171,CATUAI,Hojas Nuevas Mayor al 30%,760,113,14.87,Susceptibles,a realizar
Copan,1/23/2018,Enero,2018,1,14.6534586,-89.07318115,1126,CATUAI,Fin de Cosecha,839,9,1.07,Susceptibles,a realizar
Comayagua,1/24/2018,Enero,2018,1,14.42083263,-87.77027893,1171,CATUAI,Inicio de Cosecha,729,131,17.97,Susceptibles,a realizar
Comayagua,8/15/2017,Agosto,2017,8,14.2106657,-88.06571198,1248,CATUAI,Fruto Consistente,1156,0,0,Susceptibles,a realizar
Comayagua,3/27/2018,Marzo,2018,3,14.23999977,-87.90000153,1420,CATUAI,Floracion,862,33,3.83,Susceptibles,a realizar
Santa Barbara,9/29/2017,Septiembre,2017,9,14.89999962,-88.40000153,1157,CATUAI,Fruto Consistente,583,145,24.87,Susceptibles,a realizar
Comayagua,1/25/2018,Enero,2018,1,14.60000038,-87.90000153,1310,CATUAI,Madurez Fisiologica,790,37,4.68,Susceptibles,a realizar
Copan,1/24/2018,Enero,2018,1,14.66378975,-88.96663666,1490,CATUAI,Madurez Fisiologica,499,13,2.61,Susceptibles,a realizar
Francisco Morazan,8/16/2017,Agosto,2017,8,14.35099983,-87.32479858,1431,CATUAI,Fruto Consistente,1172,16,1.37,Susceptibles,a realizar
Copan,9/20/2017,Septiembre,2017,9,14.61065865,-88.78356171,1322,CATUAI,Fruto Consistente,967,20,2.07,Susceptibles,a realizar
Comayagua,5/23/2017,Mayo,2017,5,14.60000038,-87.90000153,1420,CATUAI,Floracion Loca,1505,141,9.37,Susceptibles,a realizar
Francisco Morazan,3/27/2018,Marzo,2018,3,14.37356663,-86.82189178,1116,CATUAI,Hojas Nuevas Mayor al 30%,567,23,4.06,Susceptibles,a realizar
Cortes,5/30/2017,Mayo,2017,5,15.23880959,-87.81156921,1258,CATUAI,Floracion Principal,1189,74,6.22,Susceptibles,a realizar
Santa Barbara,8/17/2017,Agosto,2017,8,15.13298512,-88.33998871,1374,CATUAI,Fruto Consistente,689,51,7.4,Susceptibles,a realizar
Copan,7/17/2017,Julio,2017,7,14.30000019,-88.5,1409,CATUAI,Fruto Consistente,444,5,1.13,Susceptibles,a realizar
Comayagua,3/31/2018,Marzo,2018,3,14.48569965,-87.31430054,1260,ICATU,Floracion Loca,1005,28,2.79,Susceptibles,a realizar
El Paraiso,1/16/2018,Enero,2018,1,13.48069954,-86.24295044,1105,CATUAI,Madurez Fisiologica,609,164,26.93,Susceptibles,a realizar
Francisco Morazan,3/31/2018,Marzo,2018,3,13.19557953,-86.4992981,1406,CATUAI,Hojas Nuevas Mayor al 30%,1035,43,4.15,Susceptibles,a realizar
Francisco Morazan,1/25/2018,Enero,2018,1,14.35999966,-87.3259964,1435,CATUAI,Floracion,462,89,19.26,Susceptibles,a realizar
Santa Barbara,9/21/2017,Septiembre,2017,9,15.12261391,-88.3114624,1360,CATUAI,Formacion de Fruto,971,10,1.03,Susceptibles,a realizar
