fecha,pais,altitud,variedad,incidencia
18/09/2017,honduras,886,catuai,2.26
21/09/2017,honduras,1160,mezcla,0
22/09/2017,honduras,941,mezcla,18.95
25/09/2017,honduras,1105,catuai,20.04
18/09/2017,honduras,1125,catuai,2.93
20/09/2017,honduras,1030,catuai,0.81
21/09/2017,honduras,1113,catuai,16.88
25/09/2017,honduras,890,mezcla,2.42
21/09/2017,honduras,950,catuai,12.42
21/09/2017,honduras,1116,catuai,9.01
22/09/2017,honduras,947,catuai,0
21/09/2017,honduras,1171,pacas,1.7
21/09/2017,honduras,1051,mezcla,0.2
22/09/2017,honduras,1085,catuai,25.31
18/09/2017,honduras,1180,catuai,1.86
21/09/2017,honduras,1020,catuai,1.46
22/09/2017,honduras,1035,catuai,3.24
29/09/2017,honduras,1040,bourbon,7.34
19/09/2017,honduras,1198,pacas,15.25
19/09/2017,honduras,913,pacas,15.28
29/09/2017,honduras,1188,bourbon,17.68
22/09/2017,honduras,1180,catuai,1.91
20/09/2017,honduras,865,mezcla,1.37
22/09/2017,honduras,1157,catuai,29.55
20/09/2017,honduras,1126,catuai,1.49
19/09/2017,honduras,1193,catuai,7.88
21/09/2017,honduras,1134,catuai,2.98
